date;gcc;exg;n_snimku
2026-05-20;0,4304733872413635;0,2914256751537323;6
2026-05-21;0,4355619251728058;0,3066965013742447;8
2026-05-22;0,4322028249502182;0,2966320484876633;8
2026-05-23;0,41761305928230286;0,25286244601011276;8
2026-05-24;0,4191145598888397;0,2573670342564583;8
2026-05-25;0,41773073077201844;0,25323058813810345;8
2026-05-26;0,4036370426416397;0,2109470874071121;8
2026-05-27;0,41139950454235075;0,2342358738183975;8
2026-05-28;0,3996542513370514;0,19900121539831161;8
2026-05-29;0,3976117819547653;0,19289788752794265;8
2026-05-30;0,42100144922733307;0,26305494606494906;8
2026-05-31;0,4265096396207809;0,27955265939235685;8
2026-06-01;0,42694154679775237;0,2808465868234634;8
2026-06-02;0,42264711260795595;0,26797033250331875;8
2026-06-03;0,41998481154441836;0,25997908115386964;8
2026-06-04;0,4184948682785034;0,2555162012577057;8
2026-06-05;0,42459500432014463;0,2738330513238907;8
2026-06-06;0,41766217648983;0,25300153344869614;8
2026-06-07;0,4215961843729019;0,264802148938179;8
2026-06-08;0,4122225701808929;0,2367133229970932;8
2026-06-09;0,4314644783735275;0,2944041550159454;8
2026-06-10;0,43256417512893675;0,29769849181175234;8
2026-06-11;0,42058723568916323;0,2617924749851227;8
2026-06-12;0,43363091349601746;0,3009312182664871;8
2026-06-13;0,41650686264038084;0,24952899515628812;8
2026-06-14;0,4265161454677582;0,27956548035144807;8
2026-06-15;0,42360326647758484;0,2708534300327301;8
2026-06-16;0,4241770088672638;0,2725894540548325;8
2026-06-17;0,42670596539974215;0,28014276921749115;8
2026-06-18;0,42832649648189547;0,28501205146312714;8
2026-06-19;0,3990859925746918;0,19727438390254973;8
2026-06-20;0,42520447373390197;0,2756811618804932;8
2026-06-21;0,4314522981643677;0,2944025844335556;8
2026-06-22;0,4244102269411087;0,27326664626598357;8
2026-06-23;0,4192982703447342;0,2579748511314392;8
2026-06-24;0,3995952844619751;0,19883542656898498;8
2026-06-25;0,40984987318515775;0,22959788888692856;8
2026-06-26;0,39035382568836213;0,17110109925270078;10
2026-06-27;0,38932334184646605;0,16797375679016113;8
2026-06-28;0,3843335688114166;0,15301726460456846;8
2026-06-29;0,4161588877439499;0,2484932765364647;8
2026-06-30;0,4039344847202301;0,21181060224771497;8
2026-07-01;0,40905753076076506;0,22718565016984937;8
2026-07-02;0,4034929871559143;0,21048493981361388;8
2026-07-03;0,40717130303382876;0,22154146581888198;8
2026-07-04;0,4078319907188416;0,22354994118213653;8
2026-07-05;0,4014656901359558;0,20441907793283462;8
2026-07-06;0,40601996183395384;0,21807626485824586;8
2026-07-07;0,4055317759513855;0,21662706285715103;8
2026-07-08;0,4009968817234039;0,20300080627202988;8
2026-07-09;0,383255735039711;0,1497729033231735;8
2026-07-10;0,3885641872882843;0,16570208519697188;8
2026-07-11;0,38073488771915437;0,14221066236495972;8
2026-07-12;0,3944013983011246;0,18323578238487243;8
2026-07-13;0,37658425569534304;0,1297757752239704;8
2026-07-14;0,3940331697463989;0,18212677538394928;8
2026-07-15;0,39911956191062925;0,1974290370941162;10
2026-07-16;0,40256001353263854;0,20774923264980316;9
2026-07-17;0,39490320682525637;0,18477010130882263;9
2026-07-18;0,406807816028595;0,2204241514205933;9
2026-07-19;0,40269026160240173;0,208139044046402;9
2026-07-20;0,38632952570915224;0,15902622044086456;9
2026-07-21;0,38595160841941833;0,15792816877365112;9
2026-07-22;0,3889183640480042;0,1668319970369339;9
2026-07-23;0,3886778295040131;0,16607175171375274;9
2026-07-24;0,38959274291992185;0,16882779598236083;9
2026-07-25;0,3780834436416626;0,13429905474185944;9
2026-07-26;0,38608638644218446;0,15828366279602052;9
2026-07-27;0,3887294590473175;0,16622959673404694;9
2026-07-28;0,3847487926483154;0,1542731523513794;9
2026-07-29;0,37083982229232787;0,11254357397556305;9
2026-07-30;0,37493951320648194;0,12486479580402375;9
2026-07-31;0,3760600686073303;0,12819548845291137;9
2026-08-01;0,37481553554534913;0,1244703769683838;9
2026-08-02;0,3744311273097992;0,12331083416938782;9
2026-08-03;0,3784471094608307;0,13536483645439149;9
2026-08-04;0,3804170489311218;0,1412678688764572;9
2026-08-05;0,37695481777191164;0,13088867962360382;9
2026-08-06;0,3774109065532684;0,13226349651813507;9
2026-08-07;0,3738325297832489;0,12154667973518371;9
2026-08-08;0,37893528342247007;0,13684631288051605;9
2026-08-09;0,35842915177345275;0,0753062590956688;9
2026-08-10;0,37368518114089966;0,12109372317790985;9
2026-08-11;0,3607867777347565;0,08239111304283143;9
2026-08-12;0,3504333674907684;0,051331117749214186;9
2026-08-13;0,3480422556400299;0,04414702802896501;9
2026-08-14;0,34796708822250366;0,04392197728157045;9
2026-08-15;0,3468828916549683;0,04066098332405091;9
2026-08-16;0,37076452374458313;0,11232960969209671;9
2026-08-17;0,38101773262023925;0,14309045970439913;9
2026-08-18;0,38596277832984927;0,15791973769664763;9
2026-08-19;0,37618383169174197;0,12859010994434358;9
2026-08-20;0,37677831649780275;0,13040424287319183;9
2026-08-21;0,37116292417049407;0,11352298185229302;4
